Wall time,Step,Value
1726531266.5167406,0,6.800360679626465
1726531274.6526632,1,120.15007781982422
1726531283.5467682,2,19.591325759887695
1726531292.1354923,3,17.498987197875977
1726531300.4939604,4,26.43604278564453
1726531308.8829317,5,30.14125633239746
1726531317.355244,6,30.569868087768555
1726531325.5608425,7,44.3947868347168
1726531333.8599677,8,54.52325439453125
1726531342.2336285,9,115.82600402832031
1726531350.5925722,10,130.6763153076172
1726531359.0397174,11,89.39067077636719
1726531367.3298106,12,186.51654052734375
1726531375.471196,13,183.66473388671875
1726531383.7285445,14,218.3210906982422
1726531391.9344642,15,212.90353393554688
1726531400.1238174,16,274.5
1726531408.2633529,17,307.30224609375
1726531416.6571436,18,310.0859069824219
1726531424.7566154,19,294.2840576171875
1726531432.8805091,20,325.330322265625
1726531441.1766403,21,245.20042419433594
1726531449.3892663,22,341.42559814453125
1726531457.546188,23,427.5885009765625
1726531465.816303,24,482.51416015625
1726531474.0313792,25,288.2133483886719
1726531482.372738,26,494.4544982910156
1726531490.6637354,27,491.0053405761719
1726531498.892522,28,658.2113037109375
1726531507.1871288,29,501.9915771484375
1726531515.563486,30,449.5552062988281
1726531523.933156,31,515.2243041992188
1726531532.3744783,32,441.0137023925781
1726531540.730676,33,569.3135986328125
1726531549.2729893,34,501.74285888671875
1726531557.6574526,35,755.3120727539062
1726531566.257071,36,746.0831909179688
1726531574.8536842,37,672.3221435546875
1726531583.460474,38,990.3892211914062
1726531592.0240169,39,782.7522583007812
