Wall time,Step,Value
1726523277.323003,0,3170.94580078125
1726523283.0221148,1,4170.14892578125
1726523288.7263467,2,4277.6142578125
1726523294.4313867,3,4603.25
1726523300.203888,4,4581.90478515625
1726523305.993521,5,4739.38525390625
1726523311.8222888,6,4760.5380859375
1726523317.550258,7,4741.453125
1726523323.3205967,8,4630.66064453125
1726523329.0988717,9,4665.78857421875
